group,file,path,sha256,width,height,word_count,mean_conf,text_area_ratio
theme_sweep,quality_irrigation_full.png,/mnt/g/clarksoft/projects/hmi_presenter/hmi_audit_2026_01_17/theme_sweep/quality_irrigation_full.png,005ee19aff48d8cf6bd65feca6d97e3304447b8c9caa6396683e86bb130dbfa4,780,493,101,59.58,0.087510
theme_sweep,quality_irrigation_menu.png,/mnt/g/clarksoft/projects/hmi_presenter/hmi_audit_2026_01_17/theme_sweep/quality_irrigation_menu.png,be4d337e0889618394b2d2bc2cfc6c68994b51be8b01e94ccbf2640a47bd6577,780,53,8,61.28,0.076609
theme_sweep,ops_amber_stage.png,/mnt/g/clarksoft/projects/hmi_presenter/hmi_audit_2026_01_17/theme_sweep/ops_amber_stage.png,7294182a5bca1a6e37f85209fb31c5678315dac0db4604dc29cc503a65a77444,752,230,37,38.11,0.105215
theme_sweep,science_cyan_header.png,/mnt/g/clarksoft/projects/hmi_presenter/hmi_audit_2026_01_17/theme_sweep/science_cyan_header.png,b40043d227f1f3d9511c2d4081c58768b6dbf9bd2d8eb6008efe26e7983c4e2d,780,181,39,81.32,0.123318
theme_sweep,science_matrix_stage.png,/mnt/g/clarksoft/projects/hmi_presenter/hmi_audit_2026_01_17/theme_sweep/science_matrix_stage.png,b585e37078e92210684207cecec8753c46556c4bedfddf73e267f2f56c7aa432,752,230,37,38.42,0.088685
theme_sweep,ops_amber_carousel.png,/mnt/g/clarksoft/projects/hmi_presenter/hmi_audit_2026_01_17/theme_sweep/ops_amber_carousel.png,d7f4782ded68ed1df783c4324c24eb7305e058bd075404e4b08c15e4bc9cde9d,780,104,8,52.16,0.070883
theme_sweep,ops_cascade_agenda.png,/mnt/g/clarksoft/projects/hmi_presenter/hmi_audit_2026_01_17/theme_sweep/ops_cascade_agenda.png,e9f832f64decc0af6b441db2e1cdc3a32a74c9154a1af2f1075e023d28ccc458,780,26,3,25.31,0.025049
theme_sweep,engineering_bronze_full.png,/mnt/g/clarksoft/projects/hmi_presenter/hmi_audit_2026_01_17/theme_sweep/engineering_bronze_full.png,11aba6efddae1b88cd1a6205ab2c3ec35639ceed664c0501bc6ce399ac7561d5,780,493,101,61.26,0.100710
theme_sweep,quality_irrigation_agenda.png,/mnt/g/clarksoft/projects/hmi_presenter/hmi_audit_2026_01_17/theme_sweep/quality_irrigation_agenda.png,31c269ef5f6823781c546d3c01b8ba40f97e8211b43d3a4d9581587024396d05,780,26,3,48.24,0.053254
theme_sweep,science_matrix_header.png,/mnt/g/clarksoft/projects/hmi_presenter/hmi_audit_2026_01_17/theme_sweep/science_matrix_header.png,4e8e4b3a5cb16fa4f638aa511efe1034a953449220184c63bbe385f91a348701,780,181,38,81.92,0.123438
user_screenshot,Screenshot 2026-01-17 125825.png,/mnt/c/Users/cyber/OneDrive/Pictures/Screenshots 1/Screenshot 2026-01-17 125825.png,e44fc14d98f66a2751e6e0347542c76ed63342fbe1e255d880445d496c6147f9,2632,1693,329,54.07,0.061422
